學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
一般,私立,長榮大學,D 日,Master,51.68
一般,私立,長榮大學,N 職,Master,52.94
一般,私立,長榮大學,P 進,Bachelor,73.31
技職,私立,弘光科技大學,D 日,5 Associate,100.00
技職,私立,弘光科技大學,D 日,4 Bachelor,93.36
技職,私立,弘光科技大學,D 日,2 Bachelor,100.00
技職,私立,弘光科技大學,D 日,Doctor,100.00
技職,私立,弘光科技大學,D 日,Master,84.76
技職,私立,弘光科技大學,N 修,4 Bachelor,98.06
技職,私立,弘光科技大學,N 修,2 Bachelor,72.44
技職,私立,弘光科技大學,N 職,Master,89.13
技職,私立,弘光科技大學,V 職,2 Associate,94.00
技職,私立,弘光科技大學,V 職,4 Bachelor,57.14
一般,私立,中國醫藥大學,D 日,Bachelor,92.68
一般,私立,中國醫藥大學,D 日,Doctor,88.04
一般,私立,中國醫藥大學,D 日,Master,87.15
一般,私立,中國醫藥大學,N 職,Master,97.14
一般,私立,中國醫藥大學,V 職,others,100.00
技職,私立,健行科技大學,D 日,4 Bachelor,64.36
技職,私立,健行科技大學,D 日,2 Bachelor,56.72
技職,私立,健行科技大學,D 日,Master,81.31
技職,私立,健行科技大學,N 修,4 Bachelor,63.03
技職,私立,健行科技大學,N 修,2 Bachelor,69.86
技職,私立,健行科技大學,N 職,Master,80.82
技職,私立,正修科技大學,D 日,4 Bachelor,89.42
技職,私立,正修科技大學,D 日,Doctor,100.00
技職,私立,正修科技大學,D 日,Master,91.04
技職,私立,正修科技大學,N 修,4 Bachelor,99.15
技職,私立,正修科技大學,N 修,2 Bachelor,100.00
技職,私立,正修科技大學,N 職,Master,97.06
技職,私立,正修科技大學,N 修,others,100.00
技職,私立,萬能科技大學,D 日,4 Bachelor,76.96
技職,私立,萬能科技大學,D 日,2 Bachelor,34.15
技職,私立,萬能科技大學,D 日,Master,62.50
技職,私立,萬能科技大學,N 修,4 Bachelor,99.23
技職,私立,萬能科技大學,N 修,2 Bachelor,98.15
技職,私立,萬能科技大學,N 職,Master,91.67
技職,私立,萬能科技大學,N 修,others,91.54
技職,私立,萬能科技大學,V 職,4 Bachelor,95.12
一般,私立,玄奘大學,D 日,Bachelor,61.77
一般,私立,玄奘大學,D 日,Master,70.62
一般,私立,玄奘大學,N 職,Master,66.67
一般,私立,玄奘大學,P 進,Bachelor,40.36
技職,私立,建國科技大學,D 日,4 Bachelor,72.72
技職,私立,建國科技大學,D 日,Master,62.96
技職,私立,建國科技大學,N 修,4 Bachelor,60.05
技職,私立,建國科技大學,N 修,2 Bachelor,83.81
技職,私立,建國科技大學,N 修,others,71.91
技職,私立,建國科技大學,N 修,others,65.44
技職,私立,明志科技大學,D 日,4 Bachelor,95.52
技職,私立,明志科技大學,D 日,Doctor,100.00
技職,私立,明志科技大學,D 日,Master,65.02
技職,私立,明志科技大學,N 修,4 Bachelor,57.89
技職,私立,明志科技大學,N 修,2 Bachelor,0
技職,私立,明志科技大學,N 職,Master,28.57
技職,私立,明志科技大學,V 職,4 Bachelor,27.59
技職,私立,高苑科技大學,D 日,4 Bachelor,55.49
技職,私立,高苑科技大學,D 日,Master,62.77
技職,私立,高苑科技大學,N 修,4 Bachelor,59.82
技職,私立,高苑科技大學,N 職,Master,100.00
技職,私立,高苑科技大學,N 修,others,83.91
技職,私立,高苑科技大學,N 修,others,52.94
技職,私立,高苑科技大學,V 職,4 Bachelor,30.00
技職,私立,大仁科技大學,D 日,4 Bachelor,69.19
技職,私立,大仁科技大學,D 日,2 Bachelor,50.00
技職,私立,大仁科技大學,D 日,Master,85.11
技職,私立,大仁科技大學,N 修,4 Bachelor,50.16
技職,私立,大仁科技大學,N 修,2 Bachelor,90.43
技職,私立,大仁科技大學,N 職,Master,90.68
技職,私立,大仁科技大學,N 修,others,60.96
技職,私立,聖約翰科技大學,D 日,5 Associate,72.33
技職,私立,聖約翰科技大學,D 日,4 Bachelor,65.60
技職,私立,聖約翰科技大學,D 日,Master,71.43
技職,私立,聖約翰科技大學,N 修,4 Bachelor,68.09
技職,私立,聖約翰科技大學,N 職,Master,89.19
技職,私立,嶺東科技大學,D 日,4 Bachelor,92.10
技職,私立,嶺東科技大學,D 日,Master,92.54
技職,私立,嶺東科技大學,N 修,4 Bachelor,100.00
技職,私立,嶺東科技大學,N 職,Master,84.85
技職,私立,嶺東科技大學,N 修,others,80.00
技職,私立,嶺東科技大學,N 修,others,86.67
技職,私立,嶺東科技大學,V 職,4 Bachelor,82.50
技職,私立,中國科技大學,D 日,4 Bachelor,80.24
